,customer,recency,frequency,monetary
0,cust11,15,16,379165
1,cust20,86,27,793490
2,cust63,28,34,502964
3,cust65,50,37,1502734
4,cust68,126,6,342374
5,cust78,30,52,1138295
6,cust121,21,49,1306570
7,cust130,15,44,891728
8,cust144,59,17,487206
9,cust81,10,61,1747953
10,cust10,52,54,3290850
11,cust270,31,15,238716
12,cust120,16,99,4284673
13,cust328,11,31,354690
14,cust385,304,3,62381
15,cust420,10,53,817237
16,cust261,32,24,1082529
17,cust489,42,62,1382823
18,cust514,56,9,824832
19,cust520,14,30,257466
20,cust132,72,33,630029
21,cust523,17,28,403245
22,cust74,22,27,657057
23,cust231,49,12,280220
24,cust596,42,7,159894
25,cust357,28,7,65050
26,cust172,25,64,2187844
27,cust683,31,16,245905
28,cust686,71,4,261478
29,cust734,364,4,1073337
30,cust739,22,12,211503
31,cust759,24,33,576725
32,cust787,133,1,53210
33,cust8,11,112,3018813
34,cust30,9,86,3647731
35,cust530,14,25,183819
36,cust54,25,31,2172897
37,cust839,11,20,129938
38,cust846,11,18,155089
39,cust848,136,3,472912
40,cust439,17,42,1342728
41,cust131,57,48,1802494
42,cust893,114,5,16857
43,cust3,18,152,23041140
44,cust660,67,6,407809
45,cust1,22,113,4562295
46,cust840,25,14,2191101
47,cust401,31,57,4322357
48,cust113,9,138,4111248
49,cust342,37,57,1626075
50,cust488,16,64,2051041
51,cust156,36,32,1734780
52,cust735,24,14,723673
53,cust134,21,45,674963
54,cust1196,29,7,157296
55,cust1202,57,4,92308
56,cust568,14,67,1104736
57,cust707,114,14,500907
58,cust161,24,117,3220138
59,cust1269,45,13,237276
60,cust533,57,9,177803
61,cust33,23,114,1984923
62,cust818,102,24,1403571
63,cust947,113,23,7781708
64,cust1295,81,7,213573
65,cust164,29,23,1258653
66,cust1277,10,19,264249
67,cust515,70,29,1537550
68,cust1315,79,3,66610
69,cust114,11,63,3479847
70,cust50,22,73,5407730
71,cust39,87,21,831005
72,cust43,11,96,4373106
73,cust139,18,51,1385300
74,cust1345,49,10,305028
75,cust82,136,11,106248
76,cust154,11,15,127188
77,cust62,37,69,3699850
78,cust263,11,67,3412332
79,cust214,35,56,1719725
80,cust67,98,44,1900800
81,cust768,25,16,389111
82,cust1436,37,18,294874
83,cust1143,101,22,267103
84,cust954,163,1,37994
85,cust1040,51,74,923824
86,cust1103,65,16,941932
87,cust1466,193,1,18716
88,cust490,31,19,1588769
89,cust60,99,32,2278454
90,cust230,24,51,1208464
91,cust122,37,26,221316
92,cust962,28,49,1121950
93,cust108,18,79,329917
94,cust1533,23,10,469656
95,cust182,22,115,1422720
96,cust1545,24,57,1381702
97,cust45,14,82,18730945
98,cust2,14,52,816219
99,cust1608,9,4,24677
100,cust606,22,24,1061011
101,cust948,52,18,666372
102,cust1604,71,7,373040
103,cust1368,17,7,260718
104,cust653,22,14,169215
105,cust364,42,41,1809738
106,cust1649,240,1,-8376
107,cust259,37,20,293175
108,cust102,22,49,2105357
109,cust1613,105,9,274555
110,cust234,14,60,1523363
111,cust748,86,9,642543
112,cust1687,16,19,153688
113,cust203,44,63,915242
114,cust163,16,42,9221166
115,cust184,25,57,1784314
116,cust1049,80,4,193562
117,cust1718,18,15,416178
118,cust124,17,65,1147050
119,cust1571,133,14,81368
120,cust1754,74,6,46843
121,cust892,42,10,130577
122,cust864,37,37,813726
123,cust1781,121,1,36331
124,cust269,11,18,184884
125,cust377,11,127,4463408
126,cust1770,52,42,1298821
127,cust362,91,5,1137573
128,cust566,44,18,269146
129,cust211,11,84,2085752
130,cust1895,45,7,78992
131,cust353,36,49,957657
132,cust5,84,6,97122
133,cust1947,87,3,62997
134,cust177,21,81,3632925
135,cust26,22,59,1014610
136,cust19,24,99,1053149
137,cust1992,158,1,9583
138,cust1142,56,27,583477
139,cust162,65,31,463639
140,cust195,52,47,1277552
141,cust1305,9,19,399531
142,cust1960,176,1,360564
143,cust2013,228,2,162717
144,cust300,14,32,621577
145,cust446,36,36,1771080
146,cust2018,102,2,20951
147,cust2040,59,10,663652
148,cust22,58,13,265653
