user,order,clv_est,rej_est
,,,
user,,4,4
,,,
user,,3,4
,,,
user,,3,3
user,Select an order to view,4,4
user,cust401,4,4
user,cust401,3,4
user,cust401,3,5
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,cust49,4,4
user,cust375,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,cust49,4,4
user,cust505,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,cust49,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,cust49,4,4
user,cust375,4,4
user,Select an order to view,4,4
user,cust49,4,4
user,Select an order to view,4,4
user,cust49,4,4
user,Select an order to view,4,4
user,cust49,4,4
user,Select an order to view,4,4
user,cust49,4,4
user,cust375,4,4
user,Select an order to view,4,4
user,cust505,4,4
user,cust505,2,4
user,cust505,3,4
user,cust505,3,3
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,cust49,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,cust49,4,4
user,Select an order to view,4,4
user,cust2912,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,cust375,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,cust49,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,cust375,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,cust49,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,cust375,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,cust49,4,4
user,cust401,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,cust375,4,4
user,Select an order to view,4,4
user,cust49,4,4
user,cust401,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,cust9,4,4
user,cust134,4,4
user,cust473,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,cust42,4,4
user,cust9,4,4
user,Select an order to view,4,4
user,Select an order to view,4,4
user,cust385,4,4
user,Select an order to view,4,4
user,cust9,4,4
user,Select an order to view,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust473,4,4
user,cust42,4,4
user,cust377,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust473,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust9,4,4
user,cust134,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
user,cust68,4,4
