,Unnamed: 0,fiscper,invbkd,createdon,zapocreat,productgroup,materialzsurfacet,division,zsorr,zsorrt,brand,customercountry,customertype,distributionchannel,grammage,billdate,zbweight,zreeldiam,zwidthex,zlengthex,zreellen,zsnetsal,zssc1vcv,zssc1,doccurrcy,pricedate,customer
88790,895,2022010,I,4/27/2022,4/27/2022,pg13,Standard,,S,Sheet,b56,France,ct9,Seconds EU,240,7/12/2022,882,0,1020,720,0,970.2,103.84,383.92,EUR,7/12/2022,cust68
94416,94416,2022012,I,9/7/2022,9/7/2022,pg21,Silk,GRAPHICS,S,Sheet,b159,France,ct15,France,135,9/8/2022,2800,0,640,900,0,3410.56,1341.3,2021.28,EUR,9/8/2022,cust9
75579,75579,2022012,I,9/8/2022,9/8/2022,pg21,Silk,GRAPHICS,S,Sheet,b159,France,ct15,France,300,9/9/2022,1322,0,720,1020,0,1784.96,697.4,1028.12,EUR,9/9/2022,cust473
85967,85967,2022012,I,9/9/2022,9/9/2022,pg21,Gloss,GRAPHICS,S,Sheet,b153,Germany,ct15,Germany,170,9/14/2022,2616,0,880,630,0,3334.46,1442.58,2108.3,EUR,9/14/2022,cust134
102337,102337,2022012,I,9/2/2022,9/2/2022,pg4,Standard,,R,Reel,b41,Switzerland,ct16,Germany,70,9/12/2022,19048,140,1466,0,0,27645.88,6904.86,13185.36,EUR,9/12/2022,cust42
80781,80781,2022012,I,9/12/2022,9/12/2022,pg21,Silk,GRAPHICS,S,Sheet,b159,Germany,ct15,Germany,150,9/14/2022,1436,0,460,650,0,1866.52,841,1188.1,EUR,9/14/2022,cust114
100468,100468,2022010,I,11/30/2021,3/4/2022,pg22,Gloss,GRAPHICS,S,Sheet,b149,Panama,ct7,Mexico,400,7/30/2022,7854,0,660,1016,0,10956.34,2630.94,4553.390578,USD,7/30/2022,cust385
78737,78737,2022012,I,9/5/2022,9/5/2022,pg21,Silk,GRAPHICS,S,Sheet,b159,Netherlands,ct15,Benelux,135,9/15/2022,3094,0,640,900,0,3830.98,1676.9,2428.28,EUR,9/15/2022,cust90
69336,69336,2022010,I,6/10/2022,6/10/2022,pg22,Gloss,GRAPHICS,S,Sheet,b149,Belgium,ct24,Benelux,130,7/4/2022,13478,0,640,900,0,16712.72,7314.72,10583.26,EUR,7/4/2022,cust377
81526,81526,2022010,I,7/20/2022,7/20/2022,pg24,Uncoated,GRAPHICS,S,Sheet,b152,France,ct15,France,80,7/20/2022,8038,0,650,920,0,10771.74,3730.34,5180.48,EUR,7/20/2022,cust1632
